Date,Open,Max,Min,Close,Traded Volume
7/2/14,1224.49,1230.58,1210.83,1220.67,664284
7/3/14,1220.57,1225.89,1209.26,1212,664284
7/4/14,1209.65,1211.8,1191.54,1193.58,664284
7/7/14,1193.58,1215.21,1189.5,1214.38,664284
7/8/14,1214.38,1224.96,1206.89,1210.14,664284
7/9/14,1214.09,1226.73,1202.43,1225.83,664284
7/10/14,1225.77,1251.9,1225.77,1251.84,664284
7/11/14,1254.2,1266.3,1242.52,1257.79,664284
7/14/14,1261.76,1272.84,1243.87,1252.2,664284
7/15/14,1252.24,1268.69,1252.24,1254.69,664284
7/16/14,1252.11,1254.73,1238.51,1242.79,664284
7/17/14,1242.79,1247.01,1221.36,1224.28,664284
7/18/14,1224.28,1240.96,1213.83,1228.18,664284
7/21/14,1228.67,1270.8,1226.44,1262.22,664284
7/22/14,1257.23,1268.77,1245.3,1257.58,664284
7/23/14,1257.64,1283.07,1244.86,1279.31,664284
7/24/14,1280.27,1286.71,1267.17,1280.4,664284
7/25/14,1282.32,1310.23,1270.16,1305.87,664284
7/28/14,1302.48,1349.98,1282.86,1344.97,664284
7/29/14,1345.22,1367.35,1330.01,1337.36,664284
7/30/14,1337.96,1368.76,1333.43,1348.16,664284
7/31/14,1348.17,1348.17,1318.67,1322.84,664284
8/1/14,1322.06,1322.06,1296.91,1318.36,664284
8/4/14,1313.84,1329.77,1305.34,1315.63,664284
8/5/14,1314.72,1332.24,1292.12,1292.62,664284
8/6/14,1292.93,1302.32,1279.58,1282.49,664284
8/7/14,1281.46,1281.46,1248.84,1265.63,664284
8/8/14,1264.92,1284,1257.59,1266.55,664284
8/11/14,1262.53,1290.29,1249.91,1261.22,664284
8/12/14,1265.2,1273.69,1255.62,1268.53,664284
8/13/14,1273.4,1273.43,1218.55,1231.73,664284
8/14/14,1231.73,1250.32,1211.96,1250.32,664284
8/15/14,1253.29,1270.14,1253.29,1264.7,664284
8/18/14,1266.11,1277.92,1254.86,1263.4,664284
8/19/14,1264.76,1275.44,1251.54,1273.27,664284
8/20/14,1273.45,1285.41,1269.67,1279.06,664284
8/21/14,1278.11,1284.2,1250.01,1251.04,664284
8/22/14,1248.21,1256.31,1227.45,1240.95,664284
8/26/14,1241.49,1241.49,1221.88,1227.35,664284
8/27/14,1226.9,1257.13,1217.44,1252.69,664284
8/28/14,1249.95,1249.95,1140.41,1174.97,664284
8/29/14,1179.08,1197.87,1144.59,1181.1,664284
9/1/14,1181.1,1202.28,1175.36,1187.13,664284
9/2/14,1181.9,1194.81,1155.61,1168.2,664284
9/3/14,1168.39,1226.8,1168.39,1179.91,664284
9/4/14,1179.19,1193.72,1158.23,1177.83,664284
9/5/14,1180.5,1187.51,1144.53,1161.55,664284
9/8/14,1161.18,1166.95,1142.23,1146.44,664284
9/9/14,1146.44,1151.44,1091.47,1093.07,664284
9/10/14,1089.32,1126.12,1082.74,1123.53,664284
9/11/14,1129.19,1137.38,1101.91,1111.75,664284
9/12/14,1111.64,1128.38,1104.09,1125.73,664284
9/15/14,1125.94,1129.95,1049.93,1060.7,664284
9/16/14,1065.56,1096.03,1065.53,1086.94,664284
9/17/14,1087.58,1094.15,1042.39,1057.4,664284
9/18/14,1057.4,1058.72,1043.65,1044.21,664284
9/19/14,1044.82,1048.23,1022.15,1044.33,664284
9/22/14,1044.29,1080.56,1042.15,1078.32,664284
9/23/14,1071.22,1097.1,1070.77,1085.35,664284
9/24/14,1085.35,1099.72,1073.99,1084.71,664284
9/25/14,1091.11,1097.17,1077.01,1089.29,664284
9/26/14,1090.63,1095.3,1076.47,1090.5,664284
9/29/14,1091.82,1092.94,1071.57,1073.37,664284
9/30/14,1073.7,1082.17,1061.94,1077.15,664284
10/1/14,1077.05,1099.23,1065.73,1097.62,664284
10/2/14,1097.62,1097.62,1083.25,1089.79,664284
10/3/14,1089.75,1090.81,1066.12,1075.59,664284
10/6/14,1072.34,1081.71,1060.06,1074.6,664284
10/7/14,1074.6,1079.01,1058.98,1062.69,664284
10/8/14,1062.87,1068.13,1053.4,1055.28,664284
10/9/14,1055.28,1059.75,1043.94,1051.57,664284
10/10/14,1051.57,1073.04,1040.52,1070.86,664284
10/13/14,1070.43,1126.87,1060.14,1124.21,664284
10/14/14,1126.25,1143.08,1117.11,1135.69,664284
10/15/14,1135.57,1142.09,1126.13,1133.78,664284
10/16/14,1133.78,1147.66,1120.19,1121.22,664284
10/17/14,1122.48,1131.27,1104.45,1109.24,664284
10/20/14,1109.51,1114.4,1096.71,1101.45,664284
10/21/14,1101.45,1105.95,1068.23,1095.49,664284
10/22/14,1095.9,1118.76,1088.38,1091.31,664284
10/23/14,1091.85,1111.59,1084.08,1107.1,664284
10/24/14,1107.37,1133.03,1107.37,1115.77,664284
10/27/14,1115.77,1129.68,1115.77,1126.66,664284
10/28/14,1129.14,1149.65,1128.67,1137.45,664284
10/29/14,1137.45,1142.47,1102.54,1104.98,664284
10/30/14,1106.83,1113.43,1095.56,1105.96,664284
10/31/14,1106.34,1129.34,1103.71,1114.38,664284
11/3/14,1113.96,1121.96,1078.23,1090.85,664284
11/4/14,1090.85,1101.33,1068.24,1090.97,664284
11/5/14,1091.58,1113.11,1076.09,1106.15,664284
11/6/14,1106.15,1120.48,1093.12,1097.47,664284
11/7/14,1098.52,1098.52,1077.72,1090.66,664284
11/10/14,1090.66,1100.31,1068.19,1072.24,664284
11/11/14,1072.24,1072.24,985.69,991.28,664284
11/12/14,993.04,1005.25,946.7,976.73,664284
11/13/14,976.73,979.32,928.99,960.78,664284
11/14/14,959.92,990.86,946.16,989.52,664284
11/17/14,989.6,1003.78,959.04,963.07,664284
11/18/14,963.6,997.92,945.35,981.05,664284
11/19/14,981.48,1004.16,976.69,993.12,664284
11/20/14,995.27,1011.35,978.08,986.42,664284
11/21/14,986.42,993.5,971.81,982.45,664284
11/24/14,981.17,991.39,974.74,988.5,664284
11/25/14,988.29,1004.72,966.09,988.34,664284
11/26/14,988.31,992.4,965.32,987.03,664284
11/27/14,987.03,993.95,965.73,973.65,664284
11/28/14,973.65,978.32,934.04,971.77,664284
12/1/14,971.22,994.26,959.48,989.12,664284
12/2/14,984.41,1006.64,976.81,998.35,664284
12/3/14,997.64,1014.85,980.42,1008.23,664284
12/4/14,1007.71,1018.01,1004.84,1005.81,664284
12/5/14,1005.81,1017.75,981.47,990.03,664284
12/8/14,990.03,991.53,969.33,978.88,664284
12/9/14,978.71,990.7,948.94,958.97,664284
12/10/14,958.97,960.37,921.93,932.24,664284
12/11/14,932.24,947.68,914.44,943.18,664284
12/12/14,940.53,961.74,926.29,934.86,664284
12/15/14,931.77,964.33,908.88,963.97,664284
12/16/14,967.3,986.11,940.74,971.3,664284
12/17/14,972.9,1014.67,972.02,1000.16,664284
12/18/14,1004.38,1021.41,986.88,1003.23,664284
12/19/14,1002.21,1023.68,987.87,1002.38,664284
12/22/14,1002.66,1022.08,1002.66,1011.54,664284
12/23/14,1013.67,1018.24,993.66,994.98,664284
12/24/14,994.98,995.96,987.13,993.92,664284
12/25/14,993.92,1006.58,987.18,1000.63,664284
12/26/14,1001.19,1013.93,993.16,995.15,664284
12/29/14,995.15,1013.87,995.08,1005.09,664284
12/30/14,1005.09,1046.58,998.01,1033.3,664284
1/6/15,1033.61,1066.12,1013.34,1042.38,664284
1/12/15,1042.38,1090.52,1034.52,1059.42,664284
1/13/15,1061.71,1097.08,1061.71,1071.65,664284
1/14/15,1070.88,1070.88,1039.32,1057.93,664284
1/15/15,1057.93,1060.89,1040.29,1053.89,664284
1/16/15,1053.89,1061.32,1042.93,1050.28,664284
1/19/15,1051.75,1057.44,1027.5,1028.92,664284
1/20/15,1028.92,1050.4,1022.91,1042.36,664284
1/21/15,1043.56,1047.7,1027.61,1040.82,664284
1/22/15,1040.82,1048.73,1022.67,1023.13,664284
1/23/15,1024.67,1043.33,1011.09,1019.28,664284
1/26/15,1019.19,1026.46,995.99,1007.54,664284
1/27/15,1007.54,1014.1,995.61,996.71,664284
1/28/15,996.71,1018.91,963.87,996.94,664284
1/29/15,996.82,1001.03,981.9,988.74,664284
1/30/15,988.74,992.56,977.49,991.42,664284
2/2/15,989,997.72,969.92,976.34,664284
2/3/15,976.31,985.89,968.48,980.67,664284
2/4/15,981.09,1000.45,980.73,993.79,664284
2/5/15,992.7,1017.77,992.7,1017.77,664284
2/6/15,1017.75,1055.81,1012.6,1055.68,664284
2/9/15,1055.7,1079.67,1030.36,1034.53,664284
2/10/15,1034.53,1046.3,1024.43,1036.32,664284
2/11/15,1036.32,1045.57,1027.76,1041.57,664284
2/12/15,1046.71,1124.76,1041.53,1105.93,664284
2/13/15,1105.78,1122.05,1090.77,1107.41,664284
2/16/15,1107.41,1132.09,1094.57,1106.55,664284
2/17/15,1105.21,1122.95,1070.39,1070.39,664284
2/18/15,1070.33,1117.49,1055.54,1114.54,664284
2/19/15,1112.65,1115.97,1073.64,1082.08,664284
2/20/15,1082.08,1106.33,1078.73,1098.93,664284
2/23/15,1098.93,1124.8,1091.45,1091.52,664284
2/24/15,1090.15,1107,1086.54,1103.1,664284
2/25/15,1103.1,1136.34,1100.59,1117.04,664284
2/26/15,1118.19,1136.23,1111.93,1119.63,664284
2/27/15,1119.63,1129.79,1112.78,1124.88,664284
3/2/15,1127.32,1142.28,1126.01,1135.93,664284
3/3/15,1135.93,1158.71,1112,1114.56,664284
3/4/15,1114.56,1119.93,1089.07,1102.21,664284
3/5/15,1102.01,1109.58,1088.01,1100.25,664284
3/6/15,1100.25,1107.64,1092.07,1107.31,664284
3/10/15,1107.31,1121.74,1080.54,1087.87,664284
3/11/15,1089.12,1094.8,1073.32,1092.97,664284
3/12/15,1095.28,1112.05,1082.44,1089.53,664284
3/13/15,1089.53,1111.05,1073.19,1073.19,664284
3/16/15,1074.25,1092.53,1049.78,1080.37,664284
3/17/15,1080.57,1098.32,1058.95,1088.78,664284
3/18/15,1088.78,1095.41,1076.18,1079.73,664284
3/19/15,1073.95,1079.81,1047.95,1061.4,664284
3/20/15,1062.56,1066.03,1049.74,1051.45,664284
3/23/15,1050.48,1051.52,1029.11,1051.52,664284
3/24/15,1051.4,1056.48,1041.05,1054.36,664284
3/25/15,1054.64,1058.81,1044.6,1047.13,664284
3/26/15,1047.16,1047.25,1022.6,1027.24,664284
3/27/15,1027,1033.44,1006.85,1007.91,664284
3/30/15,1007.18,1023.19,995.75,1017.28,664284
3/31/15,1016.77,1029.5,1011.43,1022.82,664284
4/1/15,1023.02,1038.92,1023.02,1035.97,664284
4/2/15,1035.97,1050.99,1035.97,1048.68,664284
4/3/15,1048.84,1053.11,1038.6,1045.25,664284
4/6/15,1045.25,1048.22,1027.75,1036.77,664284
4/7/15,1036.61,1043.23,1031.63,1037.85,664284
4/8/15,1037.85,1047.95,1024.31,1032.81,664284
4/9/15,1032.68,1039.9,1007.72,1024.48,664284
4/10/15,1025.44,1027.83,1003.67,1016.28,664284
4/14/15,1013.82,1019.88,1002.18,1016.4,664284
4/15/15,1015.88,1021.65,1001.14,1021.65,664284
4/16/15,1022.46,1040.49,1016.93,1022.2,664284
4/17/15,1022.11,1024.86,1010.95,1014.95,664284
4/20/15,1015.23,1019.09,1008.45,1011.64,664284
4/21/15,1011.12,1017.26,989.29,1007.11,664284
4/22/15,1007.11,1037.57,1000.23,1020.5,664284
4/23/15,1020.38,1038.21,1020.38,1036.46,664284
4/24/15,1036.46,1083.77,1036.46,1065.38,664284
4/27/15,1065.64,1083.05,1058.96,1068.25,664284
4/28/15,1068.54,1071.86,1052.16,1059.29,664284
4/29/15,1059.29,1085,1058.47,1085,664284
4/30/15,1085.09,1089.18,1072.46,1077.6,664284
5/5/15,1077.6,1089.82,1077.6,1084.71,664284
5/6/15,1084.71,1096.91,1072.97,1077.02,664284
5/7/15,1077.02,1077.9,1064.02,1069.96,664284
5/8/15,1069.96,1086.33,1061.7,1068.82,664284
5/12/15,1068.66,1075.22,1043.69,1053.7,664284
5/13/15,1053.86,1081.17,1051.73,1066.31,664284
5/14/15,1069.76,1083.13,1057.41,1063.78,664284
5/15/15,1063.77,1069.06,1060.97,1062.95,664284
5/18/15,1062.95,1070.81,1045.5,1045.5,664284
5/19/15,1045.3,1048.15,1021.48,1030.43,664284
5/20/15,1030.48,1042.98,1029.62,1036.05,664284
5/21/15,1036.08,1039.71,1023.61,1024.34,664284
